target_id,method_cn,error_mm,tilt_deg,sim_success
9,本文方法,4.336727334840499,1.3506282584607097,True
9,优先级IK,7.466358945161874,2.7022367992088316,True
10,本文方法,4.343618501290727,1.447001194407629,True
10,优先级IK,10.238629563462142,2.928561974628931,True
11,本文方法,3.313449457979459,0.6568637237141921,True
11,优先级IK,9.841363699876199,8.697316316502858,True
12,本文方法,7.815893105419233,0.6951184980051834,True
12,优先级IK,9.902009778372783,6.667655788159845,True
13,本文方法,12.884979679129573,4.899300382221295,True
13,优先级IK,22.5929778389739,6.014033469983654,False
14,本文方法,3.9450258083637704,1.2599887090027149,True
14,优先级IK,6.720467603886045,10.579949705125197,True
15,本文方法,7.698885473108301,0.8165722951492784,True
15,优先级IK,12.882044142678996,4.7989221628062015,True
16,本文方法,5.4641015011380745,0.9082962656128886,True
16,优先级IK,10.007217420197641,2.7620031891384462,True
17,本文方法,4.506324677609092,1.128730324792699,True
17,优先级IK,13.220820334456153,2.8933077064324246,True
18,本文方法,4.039032932400454,1.3412654849782133,True
18,优先级IK,14.945309217486212,2.1662187749703,True
19,本文方法,4.706957405012281,0.9566094716262319,True
19,优先级IK,3.3623978914924053,6.910352394112427,True
20,本文方法,4.308581360960365,0.8940213428993353,True
20,优先级IK,14.817773549041448,6.0187429599889635,True
21,本文方法,3.18231926435325,1.226716712348563,True
21,优先级IK,14.86372791029964,9.902795991372718,True
22,本文方法,5.522926994717793,0.5984024359064737,True
22,优先级IK,12.79646953982161,7.967270764635824,True
23,本文方法,3.8344002572669815,0.794121253180969,True
23,优先级IK,5.759607650252241,7.7671057167652515,True
24,本文方法,4.474731874195881,0.7693037278055329,True
24,优先级IK,9.214333762420704,8.218698727375095,True
25,本文方法,3.9998624572641526,1.7340787653320398,True
25,优先级IK,6.00361612970551,4.298669510542429,True
26,本文方法,5.094581380324666,1.0005941934649794,True
26,优先级IK,17.856195539806443,3.2519126422652516,True
27,本文方法,16.94805304955428,5.106813896506124,True
27,优先级IK,22.7601834532674,12.693610388293463,False
28,本文方法,5.428593843244612,1.5130770771302777,True
28,优先级IK,4.170001773487747,12.04170724070479,True
29,本文方法,6.23107742159432,0.6190585106885083,True
29,优先级IK,3.9367822038364624,7.788383298506594,True
30,本文方法,5.150018245681965,0.7110633212866059,True
30,优先级IK,17.185951824378687,6.353235105031679,True
31,本文方法,6.245208394082755,0.950065866088734,True
31,优先级IK,19.02457315670558,1.1362705359564902,True
32,本文方法,6.805702223179992,0.8553607067903394,True
32,优先级IK,11.15702780030298,1.6814670722375067,True
33,本文方法,3.5279884020517214,0.9941262677551388,True
33,优先级IK,5.508042925171112,9.00452588663354,True
34,本文方法,3.42618728282811,1.3663515332082603,True
34,优先级IK,5.827330913312302,11.481197430575282,True
35,本文方法,3.5821292130953806,1.1886039330725344,True
35,优先级IK,8.140667496498665,10.808852183453363,True
36,本文方法,10.202264303261668,1.3331485490082096,True
36,优先级IK,14.087187947527967,4.621882609263221,True
37,本文方法,3.819974099060601,1.5434530197236471,True
37,优先级IK,18.585742533011032,4.6674040523536675,True
38,本文方法,4.240006186606398,1.2554913960991632,True
38,优先级IK,10.294936308102566,2.1128650356525935,True
