param,value,target_idx,ik_ok,sim_ok,final_error_m,max_tilt_deg
orientation_weight,0.45,3,True,True,0.003081855471131688,1.0928129554988228
orientation_weight,0.45,4,True,True,0.004371150530508379,0.8133835908512695
orientation_weight,0.45,5,True,True,0.004223110998133605,1.0865381837488506
orientation_weight,0.45,6,True,True,0.004375892122728537,1.0700307007982695
orientation_weight,0.45,7,True,True,0.005394654601199059,1.0219904263962976
orientation_weight,0.45,8,True,True,0.004693328315295045,1.0058766613673629
orientation_weight,0.45,9,True,True,0.0046403921685753075,0.7860329783862566
orientation_weight,0.45,10,True,True,0.004196519313292616,1.0884675674580027
orientation_weight,0.45,11,True,False,0.022857003834973015,12.132290037100143
orientation_weight,0.45,12,True,True,0.0048102807181929,1.0544378670807608
orientation_weight,0.45,13,True,True,0.006219896014874109,1.1979673643958255
orientation_weight,0.45,14,True,True,0.005431863657744886,0.9259261667255653
orientation_weight,0.45,15,True,True,0.004614746651096444,1.1925256791000725
orientation_weight,0.45,16,True,True,0.004758354171413917,1.0012178144798383
orientation_weight,0.45,17,True,True,0.005363687803914677,0.6989460694788376
orientation_weight,0.45,18,True,True,0.0032233435848761623,1.6840138789584793
orientation_weight,0.45,19,True,True,0.004392943094090665,1.423263080694952
orientation_weight,0.45,20,True,True,0.002750019413016033,1.6060629491172025
orientation_weight,0.45,21,True,True,0.00500298045355453,0.976405492649018
orientation_weight,0.45,22,True,True,0.004396263483768985,1.3175717873485298
orientation_weight,0.45,23,True,True,0.00511228646416465,0.99228343073895
orientation_weight,0.45,24,True,True,0.008379123652898965,0.7956799457338628
orientation_weight,0.45,25,True,True,0.004806573198691055,0.9783119272919917
orientation_weight,0.45,26,True,True,0.00389062691416123,1.6224733420913977
orientation_weight,0.45,27,True,True,0.003907251108933096,1.3197448503914881
orientation_weight,0.45,28,True,True,0.004771656544886622,1.2586063423975944
orientation_weight,0.45,29,True,True,0.006478576352960981,0.7289619749121483
orientation_weight,0.9,0,True,True,0.004630890833094702,0.8313425012602272
orientation_weight,0.9,1,True,True,0.007870477747510896,0.6456312148944214
orientation_weight,0.9,2,True,True,0.0049566615577486565,1.001048642141573
orientation_weight,0.9,3,True,True,0.0030809354838213917,1.0900268891250682
orientation_weight,0.9,4,True,True,0.004373366916895051,0.782653856175539
orientation_weight,0.9,5,True,True,0.004218029363611419,1.0605743655604274
orientation_weight,0.9,6,True,True,0.004370070142969864,1.065114495084167
orientation_weight,0.9,7,True,True,0.005395330992087666,1.0228633434117342
orientation_weight,0.9,8,True,True,0.004692479101394533,0.9904906516584471
orientation_weight,0.9,9,True,True,0.004638543216392406,0.7675741649923162
orientation_weight,0.9,10,True,True,0.004196405849598928,1.0565126916766305
orientation_weight,0.9,11,True,False,0.039008337258086126,13.775523822588736
orientation_weight,0.9,12,True,True,0.004809703468803359,1.0490631623592122
orientation_weight,0.9,13,True,True,0.006210145817222096,1.193326148879791
