target_id,target_x,target_y,target_z,reachable,planned_success,sim_success,final_error_m,planned_error_m,max_tilt_deg,planned_max_tilt_deg,path_length_m,message
11,0.845413419629878,-0.040181379387507245,0.8894713590842857,True,True,True,0.0035010868499729957,2.3578663600679408e-06,0.6225241452891669,0.016612663144569342,0.849515755521798,ok
12,0.6534675917073415,-0.02477849298380981,0.9269093490508841,True,True,True,0.00714196868456198,0.005193148124726737,4.034550308692863,2.69447758552194,1.0065166984542504,ok
13,1.0806365399599578,-0.106289641105831,1.5326781960578373,True,True,True,0.005250613559423235,1.1863907382459484e-06,1.00007225436909,0.000986881828917203,0.3358691717967315,ok
14,1.0629903130699898,-0.32034740587987487,1.5322598013952011,True,True,True,0.005332903706371938,1.1223001928151975e-06,1.0182600480453314,0.0010211154225008654,0.4757538160588547,ok
15,1.1754667485376038,-0.20847970448428202,0.9883281039302441,True,True,True,0.00502044197798381,1.172051274788236e-06,0.9507979208645259,0.016588225428878736,0.6570471737761607,ok
16,0.9274304445739306,-0.58402130634152,0.8999082024751083,True,True,True,0.003302028424725205,1.2196172317579012e-06,1.2177229268752487,0.01969166287179087,1.0238929780330026,ok
17,0.5011277465754257,0.24059191366978283,1.364850856592032,True,True,True,0.004312299320245727,0.0025208704501818403,1.5509121101824659,0.8059258220243554,0.9746285116722635,ok
18,1.0089897747766317,0.4724726688008941,1.15891577553834,True,True,True,0.005202792210619591,1.3270296833182224e-06,0.6933163628098883,0.011009288696786761,0.7416010427470958,ok
19,0.850460656816557,-0.535469433627178,0.8145300735359734,True,True,True,0.0020959397052610373,1.324511168557531e-06,1.5202684217267048,0.023674674599339963,1.0956403084920006,ok
20,1.0836198813129583,-0.048893471652980795,1.2652361064811888,True,True,True,0.005098193668687169,1.6343988178705784e-06,0.72435197170747,0.00820941662838986,0.41396977061714796,ok
21,1.1364321171372742,0.24241270356069058,1.253579400657996,True,True,True,0.005813624971984853,1.2461821469494139e-06,0.6452421639618668,0.008747258517064281,0.4645145110538451,ok
22,0.9510829899733705,-0.30029908884610973,0.7308178345679394,True,True,True,0.0014530618075939935,1.4380285375177708e-06,1.8550448353069535,0.028570589057651977,1.0180174045303807,ok
23,0.8116884829766453,-0.38734382541177387,1.108528643724636,True,True,True,0.003892145596517576,2.0501192378553363e-06,0.8910689554802299,0.010998258841477652,0.8360225471304106,ok
24,1.1280573998724275,-0.4970826516442884,0.758302741689066,True,True,True,0.004060000810535683,1.098659954254623e-06,1.5825059447130874,0.025704779229109107,1.0186537488002292,ok
25,0.7352715443470045,-0.24528920411256164,1.361916514726895,True,True,True,0.0046200923274455526,2.1752030777998638e-06,1.251233099354662,0.004856831774371051,0.7466856852527078,ok
26,0.8995684393683699,0.4266698969314954,1.3643135403273874,True,True,True,0.004559260072902854,1.5218781393925714e-06,1.0412462342270425,0.005129997123681594,0.6955172401179989,ok
27,0.7721906498475132,0.4117501891827721,0.8669729199077039,True,True,True,0.002722298000463995,1.8605737923489285e-06,0.909622106367093,0.01688666523233716,1.0299514642923426,ok
28,0.45588747854774436,-0.33909197535689545,1.4223593505964502,True,True,True,0.0036018754274848882,2.5421607350238253e-06,1.6672375351627575,0.008044931713427454,1.0463023270027527,ok
29,0.7940879383886682,-0.46358157562036406,1.2010447751033635,True,True,True,0.00398539739477722,1.8743397798855873e-06,1.006716639972051,0.008734120433500019,0.8504725308437702,ok
30,0.6405870994530902,0.2025590369421352,1.1461562755740307,True,True,True,0.0051331174589964975,3.5160371988952794e-06,1.2433083730165027,0.009266582240493272,0.8982256212186158,ok
31,0.8141644340073257,-0.2604771490812935,1.3302825931188884,True,True,True,0.0046030169872922485,1.9900515755418648e-06,1.120097324254245,0.005728017661760521,0.6848794729459724,ok
32,0.6716784060753331,-0.5035122340108307,0.8180059021205153,True,True,True,0.002108338606272692,1.7561403721722646e-06,1.3687492314993972,0.019163351546842837,1.1770855419454909,ok
33,1.0604362324287449,0.7852407889800558,1.3997071338107494,True,True,True,0.007895638848993147,7.375918911609692e-07,0.8616203161784712,0.004651544370813005,0.9042636285893008,ok
34,0.5673663907300336,0.5097063076463774,1.4787509039657944,True,True,True,0.004536513043113494,1.8608734679174583e-06,1.5696903139538767,0.0039859273750378664,1.0078220273706802,ok
35,1.1200084042786584,-0.08866074963047785,0.972241561845159,True,True,True,0.004398555041070551,1.303314785357989e-06,0.8822864800787263,0.016767887529476014,0.6571571366438662,ok
36,0.5074402638530563,0.3684763283715002,1.155776289833611,True,True,True,0.013141913375132833,0.012372114550782626,1.5838001045472194,1.3509484108080467,1.0901951652072126,ok
37,0.6795230281788104,-0.2122187816798992,1.279219568941896,True,True,True,0.004743429175990801,2.6541251371761593e-06,1.2379860948993548,0.006535157327924375,0.812915186804117,ok
38,0.5871558435825569,0.365112556724295,1.45851952983521,True,True,True,0.004459303739962691,2.119441907944691e-06,1.5305334358977245,0.005229614623380621,0.9230813610546138,ok
39,1.1192605843020214,-0.11901424475895461,1.3273088407024431,True,True,True,0.005465148853208134,1.2992891880769205e-06,0.7452763844033682,0.006633405652959338,0.36735419923045465,ok
40,0.9896105977084164,0.23563988926051435,0.784444321139889,True,True,True,0.0020627342711776737,1.3657671402276487e-06,1.539231847760622,0.024281065346827578,0.9282062135066019,ok
41,0.6664325804155872,-0.5787326143554344,1.1939908192445188,True,True,True,0.00402648395694486,1.941362088883758e-06,1.1555429826513601,0.008436289867520685,1.0200591264239767,ok
42,0.6919208315277459,-0.42855666856072044,0.8034029677225516,True,True,True,0.0021894289464093326,1.9465276050438966e-06,1.2071333849474526,0.017720815982878037,1.1366921160767594,ok
